CLUSTER_ID,CLUSTER_SUMMARY,NUM_REVIEWS_MENTIONING,FAKE_REVIEWS,TITLE,UPDATED_TITLE,ADJUSTED_TITLE,SUCINCT_TITLE,Sentiment,Simplified_Title
2411393170017514841,Positive feedback about the expertise and professionalism of the individuals being described,5,"['Serious inside else memory if six field live on traditional. positive feedback about the expertise and professionalism of the individuals being described Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive feedback about the expertise and professionalism of the individuals being described Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive feedback about the expertise and professionalism of the individuals being described Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive feedback about the expertise and professionalism of the individuals being described Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. positive feedback about the expertise and professionalism of the individuals being described Bank party main picture suddenly drug rule bring determine some.']",Positive feedback about the expertise and professionalism...,Positive feedback about the expertise and professionalism of the individuals being described,Positive feedback about the expertise and profe...,Positive feedback about the expertise and,Positive,General Feedback
2411393170017514858,"The common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients",5,"['Serious inside else memory if six field live on traditional. the common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. the common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. the common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. the common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients Bank party main picture suddenly drug rule bring determine some.']",The common theme of the feedback is...,"The common theme of the feedback is that the doctor is caring, attentive, knowledgeable, and genuinely concerned about the well-being of their patients","that the doctor is caring, attentive, knowledge...","that the doctor is caring, attentive,",Neutral,General Feedback
2411393170017514849,Customer satisfaction and exemplary customer service,5,"['Serious inside else memory if six field live on traditional. customer satisfaction and exemplary customer service Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. customer satisfaction and exemplary customer service Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. customer satisfaction and exemplary customer service Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. customer satisfaction and exemplary customer service Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. customer satisfaction and exemplary customer service Bank party main picture suddenly drug rule bring determine some.']",Customer satisfaction and exemplary customer service,Customer satisfaction and exemplary customer service,Customer satisfaction and exemplary customer se...,Customer satisfaction and exemplary customer,Neutral,General Feedback
2411393170017514820,Positive feedback and intention to return,4,"['Serious inside else memory if six field live on traditional. positive feedback and intention to return Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive feedback and intention to return Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive feedback and intention to return Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive feedback and intention to return Type successful together type music hospital relate.']",Positive feedback and intention to return,Positive feedback and intention to return,Positive feedback and intention to return,Positive feedback and intention to return,Positive,General Feedback
2411393170017514837,Positive experience with knowledgeable and welcoming staff,4,"['Serious inside else memory if six field live on traditional. positive experience with knowledgeable and welcoming staff Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive experience with knowledgeable and welcoming staff Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive experience with knowledgeable and welcoming staff Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive experience with knowledgeable and welcoming staff Type successful together type music hospital relate.']",Positive experience with knowledgeable and welcoming staff,Positive experience with knowledgeable and welcoming staff,Positive experience with knowledgeable and welc...,Positive experience with knowledgeable and,Positive,General Feedback
241139317001751480,"Positive experience with accommodating staff, except for one unfriendly receptionist Willingness to schedule appointments and accommodate requests Planning to visit the office for a personal assessment",4,"['Serious inside else memory if six field live on traditional. positive experience with accommodating staff, except for one unfriendly receptionist willingness to schedule appointments and accommodate requests planning to visit the office for a personal assessment Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive experience with accommodating staff, except for one unfriendly receptionist willingness to schedule appointments and accommodate requests planning to visit the office for a personal assessment Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive experience with accommodating staff, except for one unfriendly receptionist willingness to schedule appointments and accommodate requests planning to visit the office for a personal assessment Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive experience with accommodating staff, except for one unfriendly receptionist willingness to schedule appointments and accommodate requests planning to visit the office for a personal assessment Type successful together type music hospital relate.']","Positive experience with accommodating staff, except for...","Positive experience with accommodating staff, except for one unfriendly receptionist Willingness to schedule appointments and accommodate requests Planning to visit the office for a personal assessment","Positive experience with accommodating staff, e...","Positive experience with accommodating staff,",Positive,General Feedback
2411393170017514859,"The common theme of the feedback is that the provider is professional, unbiased, and reliable",4,"['Serious inside else memory if six field live on traditional. the common theme of the feedback is that the provider is professional, unbiased, and reliable Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is that the provider is professional, unbiased, and reliable Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. the common theme of the feedback is that the provider is professional, unbiased, and reliable Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. the common theme of the feedback is that the provider is professional, unbiased, and reliable Type successful together type music hospital relate.']",The common theme of the feedback is...,"The common theme of the feedback is that the provider is professional, unbiased, and reliable","that the provider is professional, unbiased, an...","that the provider is professional, unbiased, and",Neutral,General Feedback
241139317001751481,"Negative feedback, dissatisfaction, desire for zero or negative rating",4,"['Serious inside else memory if six field live on traditional. negative feedback, dissatisfaction, desire for zero or negative rating Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. negative feedback, dissatisfaction, desire for zero or negative rating Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. negative feedback, dissatisfaction, desire for zero or negative rating Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. negative feedback, dissatisfaction, desire for zero or negative rating Type successful together type music hospital relate.']","Negative feedback, dissatisfaction, desire for zero or...","Negative feedback, dissatisfaction, desire for zero or negative rating","Negative feedback, dissatisfaction, desire for ...","Negative feedback, dissatisfaction, desire for",Negative,General Feedback
2411393170017514856,Exceptional customer service,4,"['Serious inside else memory if six field live on traditional. exceptional customer service Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. exceptional customer service Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. exceptional customer service Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. exceptional customer service Type successful together type music hospital relate.']",Exceptional customer service,Exceptional customer service,Exceptional customer service,Exceptional customer service,Neutral,General Feedback
2411393170017514860,"The common theme of the feedback is that the provider offers excellent service, remembers clients by name, gives unbiased advice, treats every client equally and with respect, promptly answers phone calls, is willing to seek advice from other providers when needed, thoroughly answers all",4,"['Serious inside else memory if six field live on traditional. the common theme of the feedback is that the provider offers excellent service, remembers clients by name, gives unbiased advice, treats every client equally and with respect, promptly answers phone calls, is willing to seek advice from other providers when needed, thoroughly answers all Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is that the provider offers excellent service, remembers clients by name, gives unbiased advice, treats every client equally and with respect, promptly answers phone calls, is willing to seek advice from other providers when needed, thoroughly answers all Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. the common theme of the feedback is that the provider offers excellent service, remembers clients by name, gives unbiased advice, treats every client equally and with respect, promptly answers phone calls, is willing to seek advice from other providers when needed, thoroughly answers all Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. the common theme of the feedback is that the provider offers excellent service, remembers clients by name, gives unbiased advice, treats every client equally and with respect, promptly answers phone calls, is willing to seek advice from other providers when needed, thoroughly answers all Type successful together type music hospital relate.']",The common theme of the feedback is...,"The common theme of the feedback is that the provider offers excellent service, remembers clients by name, gives unbiased advice, treats every client equally and with respect, promptly answers phone calls, is willing to seek advice from other providers when needed, thoroughly answers all","that the provider offers excellent service, rem...","that the provider offers excellent service,",Neutral,General Feedback
241139317001751487,Efficiency and quickness of the process,4,"['Serious inside else memory if six field live on traditional. efficiency and quickness of the process Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. efficiency and quickness of the process Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. efficiency and quickness of the process Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. efficiency and quickness of the process Type successful together type music hospital relate.']",Efficiency and quickness of the process,Efficiency and quickness of the process,Efficiency and quickness of the process,Efficiency and quickness of the process,Neutral,General Feedback
2411393170017514826,Positive impression of the office's tranquility and calmness,3,"[""Serious inside else memory if six field live on traditional. positive impression of the office's tranquility and calmness Cause cause believe son would mouth relate own chair better available sure."", ""Line beyond its particularly tree whom local tend employee source. positive impression of the office's tranquility and calmness Trouble behavior style report size personal partner stock four room region as true."", ""Draw whose sort language ball floor meet usually. positive impression of the office's tranquility and calmness Feeling fact by four two data son.""]",Positive impression of the office's tranquility and...,Positive impression of the office's tranquility and calmness,Positive impression of the office's tranquility...,Positive impression of the office's tranquility,Positive,General Feedback
2411393170017514850,Attentiveness to questions and thorough responses,3,"['Serious inside else memory if six field live on traditional. attentiveness to questions and thorough responses Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. attentiveness to questions and thorough responses Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. attentiveness to questions and thorough responses Feeling fact by four two data son.']",Attentiveness to questions and thorough responses,Attentiveness to questions and thorough responses,Attentiveness to questions and thorough responses,Attentiveness to questions and thorough responses,Neutral,General Feedback
2411393170017514823,Positive feedback and recommendation,3,"['Serious inside else memory if six field live on traditional. positive feedback and recommendation Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive feedback and recommendation Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive feedback and recommendation Feeling fact by four two data son.']",Positive feedback and recommendation,Positive feedback and recommendation,Positive feedback and recommendation,Positive feedback and recommendation,Positive,General Feedback
2411393170017514827,Positive recommendation or endorsement,3,"['Serious inside else memory if six field live on traditional. positive recommendation or endorsement Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive recommendation or endorsement Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive recommendation or endorsement Feeling fact by four two data son.']",Positive recommendation or endorsement,Positive recommendation or endorsement,Positive recommendation or endorsement,Positive recommendation or endorsement,Positive,General Feedback
2411393170017514844,The common theme of the feedback is the appreciation and recognition of Dr Shenoy's exceptional care and dedication to his long-term patients,3,"[""Serious inside else memory if six field live on traditional. the common theme of the feedback is the appreciation and recognition of dr shenoy's exceptional care and dedication to his long-term patients Cause cause believe son would mouth relate own chair better available sure."", ""Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is the appreciation and recognition of dr shenoy's exceptional care and dedication to his long-term patients Trouble behavior style report size personal partner stock four room region as true."", ""Draw whose sort language ball floor meet usually. the common theme of the feedback is the appreciation and recognition of dr shenoy's exceptional care and dedication to his long-term patients Feeling fact by four two data son.""]",The common theme of the feedback is...,The common theme of the feedback is the appreciation and recognition of Dr Shenoy's exceptional care and dedication to his long-term patients,the appreciation and recognition of Dr Shenoy's...,the appreciation and recognition of Dr Shenoy's,Neutral,General Feedback
2411393170017514847,The common theme of the feedback is that the provider's office was not particularly impressive or well-maintained,3,"[""Serious inside else memory if six field live on traditional. the common theme of the feedback is that the provider's office was not particularly impressive or well-maintained Cause cause believe son would mouth relate own chair better available sure."", ""Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is that the provider's office was not particularly impressive or well-maintained Trouble behavior style report size personal partner stock four room region as true."", ""Draw whose sort language ball floor meet usually. the common theme of the feedback is that the provider's office was not particularly impressive or well-maintained Feeling fact by four two data son.""]",The common theme of the feedback is...,The common theme of the feedback is that the provider's office was not particularly impressive or well-maintained,that the provider's office was not particularly...,that the provider's office was not particularly,Neutral,General Feedback
2411393170017514854,Inclusive and attentive treatment,3,"['Serious inside else memory if six field live on traditional. inclusive and attentive treatment Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. inclusive and attentive treatment Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. inclusive and attentive treatment Feeling fact by four two data son.']",Inclusive and attentive treatment,Inclusive and attentive treatment,Inclusive and attentive treatment,Inclusive and attentive treatment,Neutral,General Feedback
2411393170017514848,High praise and appreciation for the doctor and staff,3,"['Serious inside else memory if six field live on traditional. high praise and appreciation for the doctor and staff Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. high praise and appreciation for the doctor and staff Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. high praise and appreciation for the doctor and staff Feeling fact by four two data son.']",High praise and appreciation for the doctor...,High praise and appreciation for the doctor and staff,High praise and appreciation for the doctor and...,High praise and appreciation for the doctor and,Neutral,General Feedback
2411393170017514863,Positive and satisfied with the provider and their staff,3,"['Serious inside else memory if six field live on traditional. positive and satisfied with the provider and their staff Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive and satisfied with the provider and their staff Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive and satisfied with the provider and their staff Feeling fact by four two data son.']",Positive and satisfied with the provider and...,Positive and satisfied with the provider and their staff,Positive and satisfied with the provider and th...,Positive and satisfied with the provider and,Positive,General Feedback
2411393170017514838,Positive feedback on the expertise and qualifications of the staff,3,"['Serious inside else memory if six field live on traditional. positive feedback on the expertise and qualifications of the staff Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive feedback on the expertise and qualifications of the staff Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive feedback on the expertise and qualifications of the staff Feeling fact by four two data son.']",Positive feedback on the expertise and qualifications...,Positive feedback on the expertise and qualifications of the staff,Positive feedback on the expertise and qualific...,Positive feedback on the expertise and,Positive,General Feedback
241139317001751486,Avoidance/disapproval,3,"['Serious inside else memory if six field live on traditional. avoidance/disapproval Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. avoidance/disapproval Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. avoidance/disapproval Feeling fact by four two data son.']",Avoidance/disapproval,Avoidance/disapproval,Avoidance/disapproval,Avoidance/disapproval,Neutral,General Feedback
2411393170017514852,Extra effort to make me feel valued,3,"['Serious inside else memory if six field live on traditional. extra effort to make me feel valued Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. extra effort to make me feel valued Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. extra effort to make me feel valued Feeling fact by four two data son.']",Extra effort to make me feel valued,Extra effort to make me feel valued,Extra effort to make me feel valued,Extra effort to make me feel valued,Neutral,General Feedback
2411393170017514846,Clear and comprehensive information,3,"['Serious inside else memory if six field live on traditional. clear and comprehensive information Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. clear and comprehensive information Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. clear and comprehensive information Feeling fact by four two data son.']",Clear and comprehensive information,Clear and comprehensive information,Clear and comprehensive information,Clear and comprehensive information,Neutral,General Feedback
241139317001751483,Absence of annoying or typical elevator music,3,"['Serious inside else memory if six field live on traditional. absence of annoying or typical elevator music Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. absence of annoying or typical elevator music Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. absence of annoying or typical elevator music Feeling fact by four two data son.']",Absence of annoying or typical elevator music,Absence of annoying or typical elevator music,Absence of annoying or typical elevator music,Absence of annoying or typical elevator music,Neutral,General Feedback
2411393170017514810,Accessibility and convenience,3,"['Serious inside else memory if six field live on traditional. accessibility and convenience Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. accessibility and convenience Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. accessibility and convenience Feeling fact by four two data son.']",Accessibility and convenience,Accessibility and convenience,Accessibility and convenience,Accessibility and convenience,Neutral,General Feedback
